"87","Chandrapur","India","19.95000000","79.30000000","5.5","0","1"
"88","Chennai","India","13.067439","80.237617","5.5","0","1"
"89","Chhoti Sadri","India","24.38333330","74.70000000","5.5","0","1"
"90","Coimbatore","India","11.00000000","77.00000000","5.5","0","1"
"91","Cuttack","India","20.05000000","85.08333330","5.5","0","1"
"92","Dahod","India","22.835602","74.255989","5.5","0","1"
"93","Dewas","India","22.58333330","76.06666670","5.5","0","1"
"94","Dholka","India","22.71666670","72.46666670","5.5","0","1"
"95","Galiakot","India","23.86666670","74.00000000","5.5","0","1"
"96","Gondia","India","21.46666670","80.48333330","5.5","0","1"
"97","Guwahati","India","26.01666670","91.10000000","5.5","0","1"
"98","Hyderabad","Pakistan","25.3833","68.40000000000001","5.0","0","1"
"99","Indore","India","22.71666670","75.83333330","5.5","0","1"
"100","Jabalpur","India","23.16666670","79.95000000","5.5","0","1"
"101","Jamnagar","India","22.46666670","70.06666670","5.5","0","1"
"102","Jamshedpur","India","22.80000000","86.18333330","5.5","0","1"
"103","Khambat","India","22.30000000","72.61666670","5.5","0","1"
"104","Khandala","India","18.76670000","73.36670000","5.5","0","1"
"105","Kolhapur","India","16.70000000","74.21666670","5.5","0","1"
"106","Kolkata","India","22.572645","88.363892","5.5","0","1"
"107","Kota","India","25.18333330","75.83333330","5.5","0","1"
"108","Kushalgarh","India","23.16666670","74.45000000","5.5","0","1"
"109","Lonavala","India","18.75000000","73.41666670","5.5","0","1"
"110","Lucknow","India","26.85000000","80.91666670","5.5","0","1"
"111","Ludhiana","India","30.15000000","76.41666670","5.5","0","1"
"112","Mahuva","India","21.08333330","71.80000000","5.5","0","1"
"113","Malkapur","India","20.86666670","76.20000000","5.5","0","1"
"114","Managalore","India","12.86666670","74.88333330","5.5","0","1"
"115","Mandasaur","India","24.06666670","75.06666670","5.5","0","1"
"116","Mandvi Kutch","India","22.35000000","69.60000000","5.5","0","1"
"117","Mumbai","India","19.07283","72.88261","5.5","0","1"
"118","Mhow","India","22.55000000","75.76666670","5.5","0","1"
"119","Morbi","India","22.81666670","70.90000000","5.5","0","1"
"120","Multai","India","21.76666670","78.25000000","5.5","0","1"
"121","Mundra","India","23.41666670","70.21666670","5.5","0","1"
"122","Mysore","India","12.30000000","76.65000000","5.5","0","1"
"123","Nagpur","India","21.16666670","79.20000000","5.5","0","1"
"124","Nasik","India","19.98333330","73.80000000","5.5","0","1"
"125","New delhi","India","28.6448","77.216721","5.5","0","1"
"126","Pachora","India","20.66666670","75.35000000","5.5","0","1"
"127","Palitana","India","21.51666670","71.08333330","5.5","0","1"
"128","Panaji","India","15.48333330","73.83333330","5.5","0","1"
"129","Pandharpur","India","17.68333330","75.38333330","5.5","0","1"
"130","Panvel","India","19.63333330","73.01666670","5.5","0","1"
"131","Parbhani","India","19.26666670","76.78333330","5.5","0","1"
"132","Patna","India","25.59409470","85.13756450","5.5","0","1"
"133","Pune","India","18.516726","73.856255","5.5","0","1"
"134","Rajgarh - MP","India","24.00000000","76.11666670","5.5","0","1"
"135","Rajkot","India","22.31666670","70.78333330","5.5","0","1"
"136","Rajula","India","21.05000000","71.43333330","5.5","0","1"
"137","Ranthambhore Park","India","25.13333330","76.10000000","5.5","0","1"
"138","Ratlam","India","23.55000000","75.06666670","5.5","0","1"
"139","Sagar - MP","India","23.83333330","78.71666670","5.5","0","1"
