"1","Accounting","0",,"1"
"2","Accounting Consultants / C A","1",,"1"
"3","Accounting Law","1",,"1"
"4","Audit Firms","1",,"1"
"5","Finiancial Advisors","1",,"1"
"6","Advertising & Marketing","0",,"1"
"7","Advertising  & Production","6",,"1"
"8","Market Research","6",,"1"
"9","Advertising Agencies","6",,"1"
"10","Apparel & Garments","0",,"1"
"11","Boutiques","10",,"1"
"12","Tailors & Tailoring Materials","10",,"1"
"13","Cloth Merchant","10",,"1"
"14","Architecture & Designing","0",,"1"
"15","Architects & Interior Designers","14",,"1"
"16","Construction Consultants","14",,"1"
"17","Automobile & Auto Spare Parts","0",,"1"
"18","Auto Garage Accessories","17",,"1"
"19","Four Wheelers / Two Wheelers","17",,"1"
"20","Navigation & Gps","17",,"1"
"21","Building Contractors","0",,"1"
"22","Building Materials","21",,"1"
"23","Cementing And Plastering","21",,"1"
"24","Door Fittings And Hinges","21",,"1"
"25","Marble, Granite & Accessories","21",,"1"
"26","Pipes, Shafts & Concrete Mixers","21",,"1"
"27","Electrical Contractors","21",,"1"
"28","Promoters & Developers","21",,"1"
"29","Contractors","21",,"1"
"30","Computers & I T","0",,"1"
"31","Computer Accessories","30",,"1"
"32","Laptops","30",,"1"
"33","Networking Fixtures","30",,"1"
"34","Developers / Programers","30",,"1"
"35","Erp Solutions / Crm Solutions","30",,"1"
"36","Multimedia Solutions","30",,"1"
"37","Web Design & Development","30",,"1"
"38","Software Consultants","30",,"1"
"39","Cosmetics","0",,"1"
"40","Beauticians","39",,"1"
"41","School / Office Supplies, Appliances & Services","0",,"1"
"42","Private Tutors","41",,"1"
"43","School Books & Media","41",,"1"
"44","Electronics & Electrical Equipments","0",,"1"
"45","Electronic Appliances","44",,"1"
"46","Mobile Softwares","44",,"1"
"47","Electrical Appliances","44",,"1"
"48","Repairers","44",,"1"
"49","Furniture & Fixtures","0",,"1"
"50","Furniture Manufacture","49",,"1"
"51","Furniture Showroom","49",,"1"
"52","Gems & Jewellery","0",,"1"
"53","Unique Stones","52",,"1"
"54","Jwellery Showroom","52",,"1"
"55","General Traders","0",,"1"
"56","General Stores","55",,"1"
"57","Sweet Shops","55",,"1"
"58","Glass And  Aluminium","0",,"1"
"59","Glass Cutting & Processing","58",,"1"
"60","Crystal Showpeices","58",,"1"
"61","Fittings & Fixtures","58",,"1"
"62","Aluminum Sheets","58",,"1"
"63","Aluminum Works","58",,"1"
"64","Hardware & Tools","0",,"1"
"65","Hardware","64",,"1"
"66","Tools","64",,"1"
"67","Paints","64",,"1"
"68","Home Furnishings","0",,"1"
"69","Show Peices & Home Accessories","68",,"1"
"70","Home D̩cor","68",,"1"
"71","Hospitals & Pharmacy","0",,"1"
"72","Medicine Manufactures","71",,"1"
"73","Chemists & Drugists","71",,"1"
"74","Medical Practitioners / Doctors","71",,"1"
"75","Nursing Homes","71",,"1"
"80","Printing And Publications","0",,"1"
"81","Printers","80",,"1"
"82","Real Estate","0",,"1"
"83","Industrial Properties","82",,"1"
"84","Residencial Properties","82",,"1"
"85","Real Estate Consultants / Brokers","82",,"1"
"86","Travel & Tourism","0",,"1"
"87","Tour Organisers","86",,"1"
"88","Ticketing Agents","86",,"1"
"89","Car / Bus Rentals","86",,"1"
"90","Caterers / Food & Beverage","0",,"1"
"91","Caterers","90",,"1"
"92","Hotel Owners","90",,"1"
"93","F & B Manufacturers","90",,"1"
"94","Fragrance","0",,"1"
"95","Attars And Perfumes","94",,"1"
"97","Photography","0",,"1"
"98","Photographer","97",,"1"
"99","Mehandi","39",,"1"
"100","Counselling","71",,"1"
"101","Anatomical Models & Cpr Manikin","71",,"1"
"102","Frames","0",,"1"
"103","Metal Frame","102",,"1"
"104","Wooden Frames","102",,"1"
"105","Antique Frames","102",,"1"
"106","Pipe Fittings","64","pipe, pipe fittings","1"
"107","Electro Plating","0",,"1"
"108","Powder Coating","107",,"1"
"109","Zinc Plating","107",,"1"
"110","Anodizing","107",,"1"
"111","Pharmaceuticals Chemicals","71",,"1"
"112","Industrial Supplies","0",,"1"
"113","Petroleum Products","112",,"1"
"114","Legal","0",,"1"
"115","Lawyers","114",,"1"
"116","Legal Advisors","114",,"1"
"117","Solicitors","114",,"1"
"118","Weighing Balance","0",,"1"
"119","Manufacturer","118",,"1"
"120","Retailer","118",,"1"
"121","Repairer","118",,"1"
"122","Interior Contractor","14",,"1"
"123","Stationary Dealers","41","stationary","1"
"124","Electrical Equipment Spares","44","spare","1"
"125","Kitchen","0",,"1"
"126","Kitchen Equpments","125",,"1"
"127","Kitchen Trolleys N More","125",,"1"
"128","Leather Products","0",,"1"
"129","Wallet N Purses","128",,"1"
"130","Belts N Jackets","128",,"1"
"131","Travelling Bags","128",,"1"
"132","Gift Articles N Show Pieces","128",,"1"
"133","Awards & Trophies","0",,"1"
"134","Manufacturing","133",,"1"
"135","Wholesalers","133",,"1"
"136","Retailers","133",,"1"
"137","Light & Lighting Fixtures","0",,"1"
"138","Decoration Lights","137",,"1"
"139","Residential & Commercial Led Lights","137",,"1"
"140","Chandeliers & Wall Fancy Lights","137",,"1"
"141","Stage Decoration Lights","137",,"1"
"142","Garage & Transportation","17",,"1"
"143","Transportation","0",,"1"
"145","Lorry On Hire","143",,"1"
"146","Taxi On Hire","143",,"1"
"147","Bus On Hire","143",,"1"
"149","Plumbing And Sanitory","0",,"1"
"150","Spare Parts","0",,"1"
"151","Garage Transportation","0",,"1"
"152","Advertisement In Books & Magazines","6",,"1"
"153","Television & Newspaper Advertisement","6",,"1"
"154","Copyright,trademarks,patents & Content Development","6",,"1"
"155","Agriculture","0",,"1"
"156","Agricultural Equipments & Services","155",,"1"
"157","Fertilizer & Pesticides Stockists","155",,"1"
"158","Farmers","155",,"1"
"159","Topi & Masallah","0",,"1"
"160","Readymade Topi/masallah /hafti & All Deeni Product","159",,"1"
"161","Deeni Products","159",,"1"
"162","Masallah & Sujni Stitching/readymade","159",,"1"
"163","Dikriyo Ni Topi","159",,"1"
"164","Uniform","10",,"1"
"165","Topi Weaving (making)","159",,"1"
"166","Sewing Accessories","10",,"1"
"167","Tailoring Kurta Saya","10",,"1"
"168","Tailoring Rida/ Jhabla","10",,"1"
"169","Readymade Kurta Saya","10",,"1"
"170","Readymade Garments","10",,"1"
"172","Repair & Services","17",,"1"
"173","Flowers /bunches / Laces","10",,"1"
"174","Tyre Manufacturers & Dealers","17",,"1"
"175","Lubricants Oil & Greases","17",,"1"
"176","Vehicle Batteries","17",,"1"
"177","Light Motor Vehicle Dealers","17",,"1"
"178","Light Motor Vehicle Spare Parts And Accesorries","17",,"1"
"179","Heavy Motor Vehicle Spare Parts & Accessories","17",,"1"
"180","Heavy Motor Vehicle Dealers","17",,"1"
"181","Misc / Others","10",,"1"
"182","Printers & Cartridges","41",,"1"
"183","Fireworks","0",,"1"
"184","Fireworks Retail Shop/wholesale Shop","183",,"1"
"185","School Uniforms","41",,"1"
"186","tech","0",,"1"
"187","Archeologist","186",,"1"
"188","Researchers","186",,"1"
"189","Scientists & Inventors","186",,"1"
"190","Sanitory Products","149",,"1"
"191","Sanitary Factory","149",,"1"
"193","Developers","0","Developer testing","1"
"195","Ayurveda/herbal","71",,"1"
"196","Nutrition Products","90","123","1"
"197","Health & Nutrition Counseling","0",,"1"
"198","Weight Management","197",,"1"
"199","Alluminium & Glass","0",,"1"
"200","Glass & Alluminium","199",,"1"
"201","Teacher(s)","41",,"1"
"202","Paper Products","0",,"1"
"203","All Kind Of Paper Products","202",,"1"
