"46","1","Syedi Shaikh Ibrahim (A.Q.) & Shaikh Abdullah Saheb Shaheed (A.Q.), Chechat","<p>Details will be updated soon</p>","17-2","1","0","1",
"47","1","Maulaya Shaikh Saheb Bin Sulaimanji (A.Q.),(Khwaja Mohammed Bin Ishaq Shaheed), Ahmedabad","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/maulai-shaikh-saheb(1).jpg"" /></p>","17-2","1","1","0","https://www.aajnodin.com/fck_eg/maulai-shaikh-saheb(1).jpg"
"778","1","Syedna Husain Bin Syedna Ali (RA) Sanaa (Yemen) 8ma Dai Al Mutlaq","<p style=""text-align: left;""><input type=""image"" src=""https://www.aajnodin.com/fck_eg/image/SYEDNA-husain-bin-syedna-ALI.jpg"" width=""801"" height=""1235"" />&nbsp;</p>","22-2","1","1","0",
"779","1","Syedna Mohammed Ezzuddin (RA)  Zabeed (Yemen) 23ma Dai Al Mutlaq","<p style=""text-align: left;""><input type=""image"" src=""https://www.aajnodin.com/fck_eg/image/SYEDNA%20MOHMD.jpg"" width=""801"" height=""1235"" />&nbsp;</p>","27-2","1","1","0",
"52","1","Syedi Habibullah Bin Mulla Adamji Bin Syedi Bawa Mulla Khan Saheb (A.Q) , Ujjain","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/syedi-habibullah-bin-adam(1).jpg"" /></p>","4-3","1","1","0","https://www.aajnodin.com/fck_eg/syedi-habibullah-bin-adam(1).jpg"
"53","1","Syedi Shaikh Dawoodbhai Mulla Mehmoodji (A.Q) , Udaipur","<p>Details will be updated soon.</p>","7-3","1","0","1",
"57","1","Syedi Miyaji Mulla Taj Saheb (A.Q) , Umreth","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/miyaji-taj-saheb(1).jpg"" /></p>","14-3","1","1","0","https://www.aajnodin.com/fck_eg/miyaji-taj-saheb(1).jpg"
"60","1","Maulaya Dawood Bin Maulaya Raj Saheb (A.Q) , Morbi","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/Mulla-Dawood-bin-Mulla-Raj(1).jpg"" /></p>","22-3","1","1","0","https://www.aajnodin.com/fck_eg/Mulla-Dawood-bin-Mulla-Raj(1).jpg"
"61","1","Maulaya Raj Saheb (A.Q) , Morbi","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/mulla-raj-bin-mulla-dawood(1).jpg"" /></p>","23-3","1","1","0","https://www.aajnodin.com/fck_eg/mulla-raj-bin-mulla-dawood(1).jpg"
"62","1","Mazoon Ud Dawat Syedi Qazi Khan Bin Ameenshah (A.Q) , Halwad","<p><img alt="""" src=""https://www.aajnodin.com/fck_eg/syedi-qazi-khan-bin-ameen-shah(1).jpg"" /></p>","23-3","1","1","0","https://www.aajnodin.com/fck_eg/syedi-qazi-khan-bin-ameen-shah(1).jpg"
